row,Source,eType,Target,Time,Weight,SourceLocation,NodeType
0,600971,1,564804,26560681,1.0,0.0,1
1,600971,0,626174,8391058,1.0,,1
2,600971,1,470784,21610929,1.0,0.0,1
3,600971,1,554368,12358995,1.0,0.0,1
4,600971,1,554368,5817846,1.0,0.0,1
5,600971,1,554368,12627610,1.0,0.0,1
6,600971,1,638591,18749952,1.0,0.0,1
7,600971,0,477333,6341410,1.0,,1
8,600971,0,533691,18163469,1.0,,1
9,600971,0,558444,20407205,1.0,,1
10,600971,1,490882,7454939,1.0,0.0,1
11,600971,1,594696,11681154,1.0,0.0,1
12,600971,1,462691,29507696,1.0,0.0,1
13,600971,0,631159,4950767,1.0,,1
14,600971,0,605385,13855995,1.0,,1
15,600971,1,506539,14342764,1.0,0.0,1
16,600971,0,564784,15060171,1.0,,1
17,600971,1,466429,22336326,1.0,0.0,1
18,600971,1,532462,28436049,1.0,0.0,1
19,600971,0,583737,30594852,1.0,,1
20,564804,1,600971,22053433,1.0,1.0,1
21,564804,1,600971,22060372,1.0,1.0,1
22,564804,1,554368,13754425,1.0,1.0,1
23,564804,1,554368,13912452,1.0,1.0,1
24,564804,0,631159,12096922,1.0,,1
25,564804,1,583737,31158776,1.0,1.0,1
26,626174,1,600971,24546297,1.0,5.0,1
27,626174,0,554368,1226894,1.0,,1
28,626174,0,554368,21434447,1.0,,1
29,626174,1,554368,26326050,1.0,5.0,1
30,626174,0,554368,19475292,1.0,,1
31,626174,0,638591,11256514,1.0,,1
32,626174,1,533691,28446845,1.0,5.0,1
33,626174,1,533691,28225872,1.0,5.0,1
34,626174,0,462691,29496054,1.0,,1
35,626174,0,631159,21605492,1.0,,1
36,626174,1,506539,15534024,1.0,5.0,1
37,626174,0,583737,16676667,1.0,,1
38,470784,1,600971,23011210,1.0,0.0,1
39,470784,1,554368,7812765,1.0,0.0,1
40,470784,0,554368,8832968,1.0,,1
41,470784,0,554368,15274489,1.0,,1
42,470784,1,554368,16244361,1.0,0.0,1
43,470784,0,554368,24151714,1.0,,1
44,470784,0,462691,3812111,1.0,,1
45,470784,0,506539,5445843,1.0,,1
46,554368,1,600971,13654133,1.0,4.0,1
47,554368,1,600971,16763298,1.0,4.0,1
48,554368,0,564804,19819806,1.0,,1
49,554368,1,564804,1668259,1.0,4.0,1
50,554368,1,564804,13404243,1.0,4.0,1
51,554368,0,626174,22677363,1.0,,1
52,554368,1,626174,24815977,1.0,4.0,1
53,554368,0,626174,25008646,1.0,,1
54,554368,1,470784,3039621,1.0,4.0,1
55,554368,1,638591,1759813,1.0,4.0,1
56,554368,1,638591,8667403,1.0,4.0,1
57,554368,1,638591,13374050,1.0,4.0,1
58,554368,1,638591,28089127,1.0,4.0,1
59,554368,0,638591,30437309,1.0,,1
60,554368,0,477333,1497198,1.0,,1
61,554368,0,533691,20307809,1.0,,1
62,554368,0,533691,322808,1.0,,1
63,554368,1,533691,18304962,1.0,4.0,1
64,554368,0,533691,6095717,1.0,,1
65,554368,1,533691,14039667,1.0,4.0,1
66,554368,1,533691,18391505,1.0,4.0,1
67,554368,1,558444,13524890,1.0,4.0,1
68,554368,1,558444,3303678,1.0,4.0,1
69,554368,0,558444,23694748,1.0,,1
70,554368,1,594696,5443200,1.0,4.0,1
71,554368,1,594696,6349222,1.0,4.0,1
72,554368,1,462691,13683622,1.0,4.0,1
73,554368,0,462691,3289528,1.0,,1
74,554368,1,462691,5284222,1.0,4.0,1
75,554368,0,462691,24727575,1.0,,1
76,554368,1,462691,11109639,1.0,4.0,1
77,554368,1,462691,354856,1.0,4.0,1
78,554368,1,462691,13942426,1.0,4.0,1
79,554368,0,462691,15688124,1.0,,1
80,554368,1,462691,13750526,1.0,4.0,1
81,554368,0,631159,21271210,1.0,,1
82,554368,0,631159,23348928,1.0,,1
83,554368,0,506539,11674571,1.0,,1
84,554368,1,506539,9351049,1.0,4.0,1
85,554368,0,506539,2789786,1.0,,1
86,554368,0,564784,23002737,1.0,,1
87,554368,0,564784,19618581,1.0,,1
88,554368,1,564784,21612456,1.0,4.0,1
89,554368,0,564784,10133909,1.0,,1
90,554368,1,466429,19146271,1.0,4.0,1
91,554368,1,466429,20052031,1.0,4.0,1
92,554368,1,466429,30194670,1.0,4.0,1
93,554368,1,466429,20079594,1.0,4.0,1
94,554368,0,583737,6225032,1.0,,1
95,554368,1,583737,14518347,1.0,4.0,1
96,554368,0,583737,16170064,1.0,,1
97,638591,1,600971,6956116,1.0,0.0,1
98,638591,0,564804,22910867,1.0,,1
99,638591,0,564804,31120388,1.0,,1
100,638591,0,470784,22815581,1.0,,1
101,638591,0,554368,2447805,1.0,,1
102,638591,0,554368,2700030,1.0,,1
103,638591,0,554368,4409050,1.0,,1
104,638591,1,554368,5463723,1.0,0.0,1
105,638591,0,554368,5624115,1.0,,1
106,638591,0,554368,6250527,1.0,,1
107,638591,1,554368,6410880,1.0,0.0,1
108,638591,0,554368,9294314,1.0,,1
109,638591,1,554368,10395318,1.0,0.0,1
110,638591,1,554368,11103691,1.0,0.0,1
111,638591,0,554368,11970917,1.0,,1
112,638591,1,554368,14952903,1.0,0.0,1
113,638591,0,554368,17122333,1.0,,1
114,638591,1,554368,21555412,1.0,0.0,1
115,638591,0,554368,23160776,1.0,,1
116,638591,0,554368,24089782,1.0,,1
117,638591,1,554368,26450895,1.0,0.0,1
118,638591,1,554368,26850250,1.0,0.0,1
119,638591,0,533691,16529714,1.0,,1
120,638591,0,533691,17977925,1.0,,1
121,638591,0,533691,27801740,1.0,,1
122,638591,1,533691,10284903,1.0,0.0,1
123,638591,1,558444,31134437,1.0,0.0,1
124,638591,1,462691,8308848,1.0,0.0,1
125,638591,0,462691,9690101,1.0,,1
126,638591,0,462691,14466659,1.0,,1
127,638591,1,462691,20575252,1.0,0.0,1
128,638591,0,462691,21713460,1.0,,1
129,638591,1,462691,27835651,1.0,0.0,1
130,638591,1,631159,23012818,1.0,0.0,1
131,638591,1,631159,23474424,1.0,0.0,1
132,638591,1,631159,30587929,1.0,0.0,1
133,638591,0,631159,23257212,1.0,,1
134,638591,0,605385,1478210,1.0,,1
135,638591,1,605385,12289350,1.0,0.0,1
136,638591,0,605385,22430658,1.0,,1
137,638591,0,506539,13491611,1.0,,1
138,638591,1,564784,5389585,1.0,0.0,1
139,638591,0,564784,23267529,1.0,,1
140,638591,1,564784,5356861,1.0,0.0,1
141,638591,0,583737,16179919,1.0,,1
142,477333,1,600971,26488569,1.0,0.0,1
143,477333,0,470784,19186781,1.0,,1
144,477333,1,554368,19959118,1.0,0.0,1
145,477333,1,554368,19854246,1.0,0.0,1
146,477333,0,631159,18846446,1.0,,1
147,477333,1,506539,22217423,1.0,0.0,1
148,477333,0,583737,7786127,1.0,,1
149,533691,1,600971,3040404,1.0,0.0,1
150,533691,0,626174,3458108,1.0,,1
151,533691,1,554368,26099831,1.0,0.0,1
152,533691,0,554368,21604514,1.0,,1
153,533691,1,554368,6775090,1.0,0.0,1
154,533691,0,554368,28014653,1.0,,1
155,533691,1,554368,2434801,1.0,0.0,1
156,533691,1,477333,1854772,1.0,0.0,1
157,533691,1,558444,19030331,1.0,0.0,1
158,533691,1,558444,18962756,1.0,0.0,1
159,533691,0,462691,18158450,1.0,,1
160,533691,0,631159,1738845,1.0,,1
161,533691,1,466429,6663284,1.0,0.0,1
162,533691,1,583737,23344565,1.0,0.0,1
163,558444,1,600971,6055061,1.0,0.0,1
164,558444,1,554368,17221956,1.0,0.0,1
165,558444,0,554368,30513067,1.0,,1
166,558444,1,638591,25160060,1.0,0.0,1
167,558444,0,533691,28433739,1.0,,1
168,558444,1,490882,5271647,1.0,0.0,1
169,490882,1,600971,9017120,1.0,2.0,1
170,490882,1,564804,12508406,1.0,2.0,1
171,490882,1,554368,7106415,1.0,2.0,1
172,490882,1,554368,10467764,1.0,2.0,1
173,490882,0,554368,14539209,1.0,,1
174,490882,1,554368,28904641,1.0,2.0,1
175,490882,1,554368,29006497,1.0,2.0,1
176,490882,0,462691,520824,1.0,,1
177,594696,1,600971,26885271,1.0,0.0,1
178,594696,0,564804,2795051,1.0,,1
179,594696,0,554368,9694463,1.0,,1
180,594696,0,554368,15824436,1.0,,1
181,594696,1,554368,16268663,1.0,0.0,1
182,594696,1,554368,17294736,1.0,0.0,1
183,594696,0,554368,18675373,1.0,,1
184,594696,0,554368,23857771,1.0,,1
185,594696,1,554368,26097532,1.0,0.0,1
186,594696,0,554368,29640045,1.0,,1
187,594696,1,638591,12972521,1.0,0.0,1
188,594696,0,462691,5362591,1.0,,1
189,594696,1,462691,7023496,1.0,0.0,1
190,594696,1,462691,16687081,1.0,0.0,1
191,594696,0,605385,24146697,1.0,,1
192,462691,0,600971,12042680,1.0,,1
193,462691,0,564804,1188050,1.0,,1
194,462691,1,626174,11855173,1.0,4.0,1
195,462691,1,626174,21357238,1.0,4.0,1
196,462691,1,470784,10550932,1.0,4.0,1
197,462691,1,554368,16942232,1.0,4.0,1
198,462691,1,554368,26107258,1.0,4.0,1
199,462691,1,554368,18061383,1.0,4.0,1
200,462691,0,554368,3547491,1.0,,1
201,462691,0,554368,26821808,1.0,,1
202,462691,0,554368,20563801,1.0,,1
203,462691,1,554368,22035799,1.0,4.0,1
204,462691,0,554368,16453479,1.0,,1
205,462691,0,554368,16374030,1.0,,1
206,462691,1,554368,24144530,1.0,4.0,1
207,462691,0,554368,23341807,1.0,,1
208,462691,0,638591,3493468,1.0,,1
209,462691,0,638591,7211012,1.0,,1
210,462691,1,638591,20072880,1.0,4.0,1
211,462691,1,638591,22071649,1.0,4.0,1
212,462691,1,638591,28144304,1.0,4.0,1
213,462691,1,558444,30451779,1.0,4.0,1
214,462691,1,594696,28534737,1.0,4.0,1
215,462691,1,631159,19704440,1.0,4.0,1
216,462691,1,631159,26654885,1.0,4.0,1
217,462691,1,631159,17898718,1.0,4.0,1
218,462691,0,631159,23606666,1.0,,1
219,462691,1,564784,6748570,1.0,4.0,1
220,462691,0,466429,4108681,1.0,,1
221,462691,1,583737,783619,1.0,4.0,1
222,462691,1,583737,2607906,1.0,4.0,1
223,462691,1,583737,20908827,1.0,4.0,1
224,462691,0,583737,13067577,1.0,,1
225,631159,1,600971,12798295,1.0,0.0,1
226,631159,1,564804,1218251,1.0,0.0,1
227,631159,0,554368,29645361,1.0,,1
228,631159,1,554368,19527405,1.0,0.0,1
229,631159,1,554368,2435438,1.0,0.0,1
230,631159,0,554368,6396486,1.0,,1
231,631159,1,638591,5315654,1.0,0.0,1
232,631159,0,638591,26797320,1.0,,1
233,631159,1,638591,27316728,1.0,0.0,1
234,631159,1,533691,30768577,1.0,0.0,1
235,631159,1,594696,5623224,1.0,0.0,1
236,631159,1,462691,20364485,1.0,0.0,1
237,631159,0,605385,24241723,1.0,,1
238,631159,1,605385,19828532,1.0,0.0,1
239,631159,0,532462,5978748,1.0,,1
240,631159,1,532462,15299334,1.0,0.0,1
241,605385,1,600971,31153961,1.0,2.0,1
242,605385,1,554368,8901002,1.0,2.0,1
243,605385,1,554368,8474637,1.0,2.0,1
244,605385,1,554368,30251526,1.0,2.0,1
245,605385,1,533691,26450110,1.0,2.0,1
246,605385,1,558444,18581334,1.0,2.0,1
247,605385,1,462691,20060117,1.0,2.0,1
248,605385,1,466429,12553227,1.0,2.0,1
249,506539,1,600971,31230306,1.0,2.0,1
250,506539,1,600971,31291049,1.0,2.0,1
251,506539,1,564804,17539243,1.0,2.0,1
252,506539,1,554368,268562,1.0,2.0,1
253,506539,1,554368,16694433,1.0,2.0,1
254,506539,0,638591,23615729,1.0,,1
255,506539,0,477333,15601039,1.0,,1
256,506539,1,462691,16175308,1.0,2.0,1
257,506539,0,532462,17539249,1.0,,1
258,564784,1,600971,28340655,1.0,1.0,1
259,564784,0,564804,31383391,1.0,,1
260,564784,1,626174,4071761,1.0,1.0,1
261,564784,0,554368,24109928,1.0,,1
262,564784,1,638591,8762310,1.0,1.0,1
263,564784,1,462691,3811801,1.0,1.0,1
264,564784,1,583737,19623898,1.0,1.0,1
265,564784,1,583737,22653139,1.0,1.0,1
266,466429,1,600971,21796763,1.0,2.0,1
267,466429,1,564804,11633482,1.0,2.0,1
268,466429,1,564804,23612455,1.0,2.0,1
269,466429,0,626174,22077602,1.0,,1
270,466429,1,554368,16147734,1.0,2.0,1
271,466429,0,554368,17757954,1.0,,1
272,466429,0,554368,31465833,1.0,,1
273,466429,0,554368,20240273,1.0,,1
274,466429,1,554368,29126186,1.0,2.0,1
275,466429,0,605385,1039361,1.0,,1
276,466429,0,605385,10973711,1.0,,1
277,532462,1,600971,27919136,1.0,0.0,1
278,532462,0,564804,16245362,1.0,,1
279,532462,1,564804,7521931,1.0,0.0,1
280,532462,1,626174,13840784,1.0,0.0,1
281,532462,0,626174,15676037,1.0,,1
282,532462,1,477333,8395924,1.0,0.0,1
283,532462,1,462691,4903315,1.0,0.0,1
284,532462,1,462691,28858726,1.0,0.0,1
285,532462,0,583737,19808321,1.0,,1
286,583737,1,600971,28175228,1.0,0.0,1
287,583737,1,554368,1991042,1.0,0.0,1
288,583737,1,554368,3979697,1.0,0.0,1
289,583737,1,554368,9781471,1.0,0.0,1
290,583737,0,554368,13318129,1.0,,1
291,583737,0,554368,19443822,1.0,,1
292,583737,0,554368,20828741,1.0,,1
293,583737,1,554368,21760785,1.0,0.0,1
294,583737,0,554368,23943271,1.0,,1
295,583737,1,554368,24918536,1.0,0.0,1
296,583737,0,554368,28280921,1.0,,1
297,583737,1,558444,31224041,1.0,0.0,1
298,583737,1,462691,2337149,1.0,0.0,1
299,583737,1,462691,6334580,1.0,0.0,1
300,583737,0,462691,19916285,1.0,,1
301,583737,0,462691,22469755,1.0,,1
302,583737,0,462691,24994836,1.0,,1
303,583737,1,631159,13484413,1.0,0.0,1
304,583737,1,631159,20223099,1.0,0.0,1
305,583737,0,631159,27365047,1.0,,1
306,583737,0,605385,14095832,1.0,,1
307,583737,1,605385,17919274,1.0,0.0,1
308,583737,1,605385,17783110,1.0,0.0,1
309,583737,0,506539,853550,1.0,,1
310,583737,1,506539,13055672,1.0,0.0,1
311,583737,1,506539,13146985,1.0,0.0,1
312,600971,4,579269,-685755382,0.166667,,1
313,631490,5,536346,31536000,1563.5,,1
314,510031,5,631490,31536000,885.05,,4
315,631490,5,520660,31536000,1396.28,,1
316,552988,5,631490,31536000,37292.8,,4
317,631490,5,567195,31536000,11095.1,,1
318,631490,5,527449,31536000,219.53,,1
319,631490,5,459381,31536000,464.35,,1
320,631490,5,595298,31536000,2647.87,,1
321,631490,5,466907,31536000,1001.88,,1
322,631490,5,589943,31536000,2234.9,,1
323,631490,5,577992,31536000,2224.48,,1
324,631490,5,537281,31536000,86.65,,1
325,631490,5,523927,31536000,202.93,,1
326,631490,5,580426,31536000,691.04,,1
327,631490,5,642329,31536000,2371.77,,1
328,631490,5,503701,31536000,1581.49,,1
329,631490,5,644226,31536000,1517.97,,1
330,631490,5,632961,31536000,8.16,,1
331,631490,5,473173,31536000,787.35,,1
332,631490,5,620120,31536000,2411.94,,1
333,575811,5,630626,31536000,4925.88,,1
334,510031,5,575811,31536000,982.79,,4
335,552988,5,575811,31536000,35192.8,,4
336,575811,5,567195,31536000,3799.23,,1
337,575811,5,527449,31536000,372.89,,1
338,575811,5,459381,31536000,481.34,,1
339,575811,5,595298,31536000,612.76,,1
340,575811,5,466907,31536000,580.14,,1
341,575811,5,577992,31536000,1304.51,,1
342,575811,5,537281,31536000,795.78,,1
343,575811,5,580426,31536000,667.49,,1
344,575811,5,616315,31536000,1243.09,,1
345,575811,5,503701,31536000,1921.34,,1
346,575811,5,632961,31536000,891.7,,1
347,575811,5,473173,31536000,2425.68,,1
348,575811,5,620120,31536000,5945.42,,1
349,575811,5,575030,31536000,10546.6,,1
350,575811,5,621924,31536000,1021.49,,1
351,547483,5,503218,31536000,2044.23,,1
352,547483,5,536346,31536000,6151.38,,1
353,547483,5,520660,31536000,2156.14,,1
354,552988,5,547483,31536000,71680.2,,4
355,547483,5,527449,31536000,979.76,,1
356,547483,5,459381,31536000,1704.3,,1
357,547483,5,595298,31536000,6484.88,,1
358,547483,5,466907,31536000,1317.63,,1
359,547483,5,589943,31536000,6754.9,,1
360,547483,5,537281,31536000,473.18,,1
361,547483,5,523927,31536000,2563.48,,1
362,547483,5,580426,31536000,866.08,,1
363,547483,5,642329,31536000,1687.48,,1
364,547483,5,503701,31536000,2286.34,,1
365,547483,5,571970,31536000,151.07,,1
366,547483,5,644226,31536000,4062.04,,1
367,547483,5,632961,31536000,1930.54,,1
368,547483,5,473173,31536000,2397.12,,1
369,547483,5,620120,31536000,3371.2,,1
370,547483,5,575030,31536000,9120.18,,1
371,506539,5,640784,31536000,20.08,,1
372,506539,5,536346,31536000,837.66,,1
373,510031,5,506539,31536000,482.64,,4
374,506539,5,520660,31536000,1207.48,,1
375,552988,5,506539,31536000,11662.5,,4
376,506539,5,567195,31536000,787.62,,1
377,506539,5,527449,31536000,59.06,,1
378,506539,5,459381,31536000,558.31,,1
379,506539,5,595298,31536000,834.11,,1
380,506539,5,466907,31536000,187.53,,1
381,506539,5,577992,31536000,713.66,,1
382,506539,5,537281,31536000,13.46,,1
383,506539,5,523927,31536000,388.13,,1
384,506539,5,580426,31536000,465.8,,1
385,506539,5,616315,31536000,1016.61,,1
386,506539,5,642329,31536000,758.46,,1
387,506539,5,503701,31536000,2990.92,,1
388,506539,5,644226,31536000,1261.92,,1
389,506539,5,632961,31536000,333.72,,1
390,506539,5,473173,31536000,840.36,,1
391,506539,5,620120,31536000,686.44,,1
392,506539,5,575030,31536000,2548.67,,1
393,564804,5,640784,31536000,456.34,,1
394,564804,5,536346,31536000,1283.39,,1
395,564804,5,520660,31536000,1748.17,,1
396,552988,5,564804,31536000,23598.6,,4
397,564804,5,567195,31536000,7161.91,,1
398,564804,5,527449,31536000,205.63,,1
399,564804,5,459381,31536000,797.76,,1
400,564804,5,595298,31536000,2528.15,,1
401,564804,5,466907,31536000,591.0,,1
402,564804,5,589943,31536000,139.11,,1
403,564804,5,577992,31536000,720.57,,1
404,564804,5,537281,31536000,579.74,,1
405,564804,5,523927,31536000,2308.4,,1
406,564804,5,580426,31536000,320.77,,1
407,564804,5,616315,31536000,1862.56,,1
408,564804,5,642329,31536000,377.31,,1
409,564804,5,503701,31536000,1419.38,,1
410,564804,5,644226,31536000,1413.06,,1
411,564804,5,632961,31536000,546.13,,1
412,564804,5,473173,31536000,1407.7,,1
413,564804,5,620120,31536000,1813.95,,1
414,564804,5,575030,31536000,2310.38,,1
415,564804,5,621924,31536000,792.97,,1
416,474123,5,536346,31536000,251.25,,1
417,474123,5,520660,31536000,1527.48,,1
418,552988,5,474123,31536000,11766.8,,4
419,474123,5,567195,31536000,749.58,,1
420,474123,5,527449,31536000,119.35,,1
421,474123,5,459381,31536000,188.75,,1
422,474123,5,595298,31536000,266.18,,1
423,474123,5,466907,31536000,282.66,,1
424,474123,5,589943,31536000,1028.14,,1
425,474123,5,523927,31536000,908.92,,1
426,474123,5,580426,31536000,386.57,,1
427,474123,5,595581,31536000,523.42,,1
428,474123,5,616315,31536000,244.11,,1
429,474123,5,642329,31536000,282.37,,1
430,474123,5,503701,31536000,948.86,,1
431,474123,5,644226,31536000,832.84,,1
432,474123,5,473173,31536000,205.86,,1
433,474123,5,620120,31536000,789.2,,1
434,474123,5,575030,31536000,385.4,,1
435,474123,5,621924,31536000,356.39,,1
436,481408,5,536346,31536000,1376.83,,1
437,510031,5,481408,31536000,885.77,,4
438,481408,5,520660,31536000,4717.58,,1
439,552988,5,481408,31536000,20796.2,,4
440,481408,5,527449,31536000,269.66,,1
441,481408,5,459381,31536000,469.32,,1
442,481408,5,595298,31536000,523.27,,1
443,481408,5,466907,31536000,127.27,,1
444,481408,5,589943,31536000,2511.27,,1
445,481408,5,577992,31536000,3027.6,,1
446,481408,5,523927,31536000,1231.21,,1
447,481408,5,580426,31536000,428.52,,1
448,481408,5,616315,31536000,95.94,,1
449,481408,5,642329,31536000,1111.36,,1
450,481408,5,503701,31536000,142.81,,1
451,481408,5,644226,31536000,297.79,,1
452,481408,5,473173,31536000,2269.79,,1
453,481408,5,620120,31536000,1500.95,,1
454,481408,5,575030,31536000,6629.34,,1
455,481408,5,621924,31536000,1554.39,,1
456,470784,5,536346,31536000,3693.61,,1
457,552988,5,470784,31536000,37014.9,,4
458,470784,5,567195,31536000,1962.63,,1
459,470784,5,527449,31536000,1190.12,,1
460,470784,5,459381,31536000,1262.47,,1
461,470784,5,595298,31536000,4147.2,,1
462,470784,5,466907,31536000,841.1,,1
463,470784,5,589943,31536000,3818.44,,1
464,470784,5,577992,31536000,624.21,,1
465,470784,5,537281,31536000,2136.33,,1
466,470784,5,580426,31536000,1223.21,,1
467,470784,5,595581,31536000,2176.89,,1
468,470784,5,642329,31536000,844.42,,1
469,470784,5,503701,31536000,6747.92,,1
470,470784,5,571970,31536000,390.56,,1
471,470784,5,644226,31536000,1880.17,,1
472,470784,5,473173,31536000,3431.76,,1
473,620120,5,470784,31536000,1384.74,,4
474,470784,5,575030,31536000,3997.12,,1
475,470784,5,621924,31536000,359.36,,1
476,493846,5,630626,31536000,2978.4,,1
477,510031,5,493846,31536000,511.16,,4
478,552988,5,493846,31536000,3312.3,,4
479,493846,5,527449,31536000,207.58,,1
480,493846,5,459381,31536000,120.07,,1
481,493846,5,595298,31536000,1064.03,,1
482,493846,5,466907,31536000,404.66,,1
483,493846,5,589943,31536000,900.56,,1
484,493846,5,577992,31536000,1148.84,,1
485,493846,5,523927,31536000,295.34,,1
486,493846,5,595581,31536000,576.02,,1
487,493846,5,616315,31536000,451.29,,1
488,493846,5,503701,31536000,1332.57,,1
489,493846,5,571970,31536000,23.5,,1
490,493846,5,632961,31536000,126.76,,1
491,493846,5,473173,31536000,562.84,,1
492,620120,5,493846,31536000,1160.51,,4
493,575811,5,630626,31536000,4925.88,,1
494,510031,5,575811,31536000,982.79,,4
495,552988,5,575811,31536000,35192.8,,4
496,575811,5,567195,31536000,3799.23,,1
497,575811,5,527449,31536000,372.89,,1
498,575811,5,459381,31536000,481.34,,1
499,575811,5,595298,31536000,612.76,,1
500,575811,5,466907,31536000,580.14,,1
501,575811,5,577992,31536000,1304.51,,1
502,575811,5,537281,31536000,795.78,,1
503,575811,5,580426,31536000,667.49,,1
504,575811,5,616315,31536000,1243.09,,1
505,575811,5,503701,31536000,1921.34,,1
506,575811,5,632961,31536000,891.7,,1
507,575811,5,473173,31536000,2425.68,,1
508,575811,5,620120,31536000,5945.42,,1
509,575811,5,575030,31536000,10546.6,,1
510,575811,5,621924,31536000,1021.49,,1
511,481408,5,536346,31536000,1376.83,,1
512,510031,5,481408,31536000,885.77,,4
513,481408,5,520660,31536000,4717.58,,1
514,552988,5,481408,31536000,20796.2,,4
515,481408,5,527449,31536000,269.66,,1
516,481408,5,459381,31536000,469.32,,1
517,481408,5,595298,31536000,523.27,,1
518,481408,5,466907,31536000,127.27,,1
519,481408,5,589943,31536000,2511.27,,1
520,481408,5,577992,31536000,3027.6,,1
521,481408,5,523927,31536000,1231.21,,1
522,481408,5,580426,31536000,428.52,,1
523,481408,5,616315,31536000,95.94,,1
524,481408,5,642329,31536000,1111.36,,1
525,481408,5,503701,31536000,142.81,,1
526,481408,5,644226,31536000,297.79,,1
527,481408,5,473173,31536000,2269.79,,1
528,481408,5,620120,31536000,1500.95,,1
529,481408,5,575030,31536000,6629.34,,1
530,481408,5,621924,31536000,1554.39,,1
531,469603,5,536346,31536000,1258.94,,1
532,510031,5,469603,31536000,2439.11,,4
533,469603,5,520660,31536000,2563.16,,1
534,552988,5,469603,31536000,118632.0,,4
535,469603,5,567195,31536000,17029.2,,1
536,469603,5,527449,31536000,928.43,,1
537,469603,5,459381,31536000,1739.11,,1
538,469603,5,595298,31536000,6408.19,,1
539,469603,5,466907,31536000,2087.91,,1
540,469603,5,577992,31536000,10337.6,,1
541,469603,5,537281,31536000,1195.92,,1
542,469603,5,523927,31536000,2076.12,,1
543,469603,5,580426,31536000,60.44,,1
544,469603,5,595581,31536000,16049.0,,1
545,469603,5,616315,31536000,315.58,,1
546,469603,5,642329,31536000,2200.36,,1
547,469603,5,503701,31536000,7584.21,,1
548,469603,5,644226,31536000,3612.86,,1
549,469603,5,473173,31536000,7937.3,,1
550,469603,5,620120,31536000,15483.5,,1
551,469603,5,575030,31536000,28871.4,,1
552,542731,5,640784,31536000,295.57,,1
553,542731,5,503218,31536000,681.6,,1
554,542731,5,536346,31536000,3.52,,1
555,510031,5,542731,31536000,577.72,,4
556,542731,5,520660,31536000,1805.2,,1
557,552988,5,542731,31536000,12792.7,,4
558,542731,5,567195,31536000,687.59,,1
559,542731,5,527449,31536000,61.75,,1
560,542731,5,459381,31536000,176.76,,1
561,542731,5,595298,31536000,615.86,,1
562,542731,5,466907,31536000,253.66,,1
563,542731,5,589943,31536000,716.57,,1
564,542731,5,537281,31536000,816.67,,1
565,542731,5,523927,31536000,419.37,,1
566,542731,5,580426,31536000,17.18,,1
